Year,Month,Tmax,Tmin,Rain
1914,1,5.2,0.7,52
1914,2,9.2,3.5,28
1914,3,,,
1914,4,12.9,5.3,18
1914,5,13.7,7.2,38
1914,6,16.2,10.4,38
1914,7,19.8,13,53
1914,8,20.3,13.7,17
1914,9,17.7,11.4,29
1914,10,14.1,9.1,45
1914,11,9.9,5,80
1914,12,8.2,3.3,141
1915,1,6.3,2.3,75
1915,2,7.3,2.3,64
1915,3,8.3,2.3,43
1915,4,10.4,4.1,25
1915,5,12.4,6.9,50
1915,6,16.2,10.3,39
1915,7,19,12,123
1915,8,18.9,12.3,29
1915,9,17.7,11.7,62
1915,10,12.9,8.4,67
1915,11,7.9,2.6,69
1915,12,8.2,3.5,91
1916,1,9.4,4.3,36
1916,2,6.9,1.3,92
1916,3,6.5,1.7,69
1916,4,11,4.6,45
1916,5,14.4,8.5,38
1916,6,14.8,8.6,88
1916,7,17.3,11.5,20
1916,8,19,12.7,75
1916,9,16.2,10.6,31
1916,10,,,
1916,11,,,
1916,12,6.3,1.3,75
1917,1,4.2,0.6,52
1917,2,3.8,-0.8,19
1917,3,5.7,-0.2,51
1917,4,7.8,1.4,67
1917,5,,,
1917,6,,,
1917,7,,,
1917,8,,,
1917,9,,,
1917,10,,,
1917,11,,,
1917,12,,,
1919,1,,,
1919,2,,,
1919,3,,,
1919,4,,,
1919,5,,,
1919,6,,,
1919,7,,,
1919,8,,,
1919,9,,,
1919,10,,,
1919,11,,,
1919,12,7.4,2.3,80
1920,1,7.8,2.3,52
1920,2,8.9,3.7,9
1920,3,10.6,3.9,22
1920,4,,,
1920,5,,,
1920,6,,,
1920,7,,,
1920,8,,,
1920,9,,,
1920,10,,,
1920,11,,,
1920,12,,,
1921,1,,,
1921,2,,,
1921,3,11.3,4,20
1921,4,,,
1921,5,14.2,8.1,25
1921,6,16.2,10.6,15
1921,7,20.7,13.6,11
1921,8,20.6,13.4,47
1921,9,19.1,11.7,36
1921,10,17.1,10.2,25
1921,11,8.2,3.2,70
1921,12,8.9,3.8,48
1922,1,5,1.3,113
1922,2,6.9,1.9,53
1922,3,7.2,2.6,44
1922,4,8.9,2.9,58
1922,5,16.3,8.2,20
1922,6,17,10.4,39
1922,7,17.4,11.3,89
1922,8,18,10.9,27
1922,9,16,10.2,63
1922,10,12.4,7.9,36
1922,11,8.3,3.4,47
1922,12,7.5,3.7,45
1923,1,7.1,2.3,40
1923,2,7.4,3.8,85
1923,3,8.6,4.2,30
1923,4,10.3,5.3,23
1923,5,13.4,6.6,35
1923,6,15.2,8.3,19
1923,7,21.1,14.1,33
1923,8,20.1,12.1,77
1923,9,17.4,9.2,30
1923,10,13.4,7,82
1923,11,6.9,1.8,79
1923,12,4.8,0.9,81
1924,1,5.4,2,47
1924,2,4.6,0.7,40
1924,3,6.9,1.1,11
1924,4,10.1,3.8,51
1924,5,14.8,8.2,87
1924,6,17.3,10.9,51
1924,7,19.6,12.3,65
1924,8,18.9,11.4,70
1924,9,17.4,11.7,65
1924,10,14.2,9.3,101
1924,11,9.6,5.8,36
1924,12,8.1,4.5,59
1925,1,7.7,3.2,22
1925,2,8.4,2.6,50
1925,3,7.3,2.1,41
1925,4,10.9,4.6,56
1925,5,15.3,8.8,51
1925,6,16.7,10.6,17
1925,7,19.8,13.3,55
1925,8,19.9,13.1,52
1925,9,15.3,9.1,69
1925,10,14.1,8.2,46
1925,11,7.8,3.8,112
1925,12,5.4,1.2,56
1926,1,6.5,1.4,59
1926,2,8.8,4.3,46
1926,3,9.5,3.6,7
1926,4,12,6.2,68
1926,5,13.1,7.2,33
1926,6,16.7,10.2,86
1926,7,18.8,13,51
1926,8,20.4,13.4,37
1926,9,19,11.9,20
1926,10,12.4,6.5,62
1926,11,9.6,5.2,72
1926,12,6.6,2.1,18
1927,1,7,1.6,37
1927,2,7.1,1.6,49
1927,3,10.5,4.5,43
1927,4,12.6,5,40
1927,5,13.5,6.9,15
1927,6,16.1,9.4,93
1927,7,18.5,12.5,53
1927,8,19.8,13.3,81
1927,9,16.8,10.4,123
1927,10,14,8,54
1927,11,9.2,3.9,102
1927,12,4.4,1.6,63
1928,1,7.8,1.9,75
1928,2,8.4,2.7,26
1928,3,8,3.2,34
1928,4,10.4,4.7,32
1928,5,12.1,7.3,44
1928,6,17.8,9.7,42
1928,7,22.1,12.8,51
1928,8,20.2,12.7,48
1928,9,18,10.7,23
1928,10,14.4,8.3,43
1928,11,11.1,5.6,70
1928,12,6.7,1.8,72
1929,1,3.6,0,35
1929,2,1.9,-2.3,14
1929,3,8.9,1.2,1
1929,4,8.9,2.8,31
1929,5,12.9,6.8,19
1929,6,16.9,10.2,15
1929,7,19.8,12.6,61
1929,8,20.4,12.8,33
1929,9,20.3,13.2,5
1929,10,14.2,6.7,65
1929,11,10,4.3,84
1929,12,8.6,3.5,111
1930,1,8.3,3.7,42
1930,2,5.3,1.8,24
1930,3,8.7,2.1,27
1930,4,10.5,4.7,41
1930,5,14.1,7.4,64
1930,6,18.9,11.4,25
1930,7,19.3,12.1,86
1930,8,20.2,12.2,66
1930,9,17.2,11.4,133
1930,10,14.2,7.6,21
1930,11,9.8,3.2,93
1930,12,6.9,1.7,51
1931,1,5.5,0.7,50.2
1931,2,5.8,0.8,69.8
1931,3,6,0.6,12.2
1931,4,10.5,4.4,70.6
1931,5,14.9,7.8,84.5
1931,6,17.9,10.8,30
1931,7,19.1,12.2,102.5
1931,8,17.4,11.6,67.2
1931,9,15.2,8.5,59.3
1931,10,12.7,6,29.4
1931,11,10.7,6.4,56.3
1931,12,7,2.7,37.1
1932,1,8.3,2.8,21.6
1932,2,5.9,1.4,15.1
1932,3,6.9,1.5,34.2
1932,4,10.2,3.6,61.3
1932,5,13.3,7,69.3
1932,6,16.9,9.6,10.3
1932,7,20.5,12.9,94.9
1932,8,21.6,14.2,55.6
1932,9,18.5,10.8,44.6
1932,10,12.8,6.2,93.9
1932,11,9.3,5,39.6
1932,12,7.6,3.3,17.7
1933,1,5.2,0.8,22.5
1933,2,7.1,1.2,41
1933,3,10.7,3.2,35.6
1933,4,13.3,4.8,24.4
1933,5,14,7.5,40.6
1933,6,18,10.4,62.1
1933,7,22.2,13,23.7
1933,8,23,13.7,25.9
1933,9,19.6,12.9,84.6
1933,10,14.6,8.3,93
1933,11,9,4.9,88.6
1933,12,4,0.3,17.3
1934,1,7,2.1,32.6
1934,2,7.5,0.4,10.4
1934,3,7.9,1.7,40.1
1934,4,10.9,4.7,50
1934,5,15.2,6.9,31.1
1934,6,17.8,10.7,39.5
1934,7,21,12.8,44.2
1934,8,20.8,12.2,43.1
1934,9,19.5,11.3,42.8
1934,10,14.8,7.7,37.9
1934,11,9.8,3.9,36.9
1934,12,10.3,6.5,76.5
1935,1,6.7,2.7,63.7
1935,2,8.6,3,42.9
1935,3,9.8,2.8,17.4
1935,4,11.2,4.8,53.4
1935,5,12.9,6.4,33.6
1935,6,18.8,11.2,51
1935,7,21.9,12.7,22.1
1935,8,21.9,12.6,61.5
1935,9,18.7,10.8,91.3
1935,10,14,6.8,58.3
1935,11,10.5,5.7,78.1
1935,12,5.1,0.8,47.7
1936,1,7.1,1.6,67.5
1936,2,5.5,0.7,68.7
1936,3,8.8,3.7,10.5
1936,4,10,3.3,30.4
1936,5,13.4,7.6,18.8
1936,6,18.2,10.7,60.6
1936,7,19.9,12.2,86.9
1936,8,20.7,12.3,26
1936,9,18.8,12.2,60.9
1936,10,13,6.6,57.8
1936,11,9.6,3.8,68.6
